HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00000,3,Q9BQS8 O95900,FYCO1 TRUB2
HuMAP2_00001,4,Q15102 P68402 Q15797 P08133 Q99426 Q9H4M9,PAFAH1B3 PAFAH1B2 SMAD1 ANXA6 TBCB EHD1
HuMAP2_00002,5,A1KXE4 Q9UF11 Q6ZRY4 Q15038 O43251 Q9Y6M7 Q15434 Q93062 Q96S66 Q9NZC3,FAM168B PLEKHB1 RBPMS2 DAZAP2 RBFOX2 SLC4A7 RBMS2 RBPMS CLCC1 GDE1
HuMAP2_00003,5,O14974 Q8WUM9 Q9Y5Y0 Q16563 Q15836 Q14919 Q9BWX1 Q29983,PPP1R12A SLC20A1 FLVCR1 SYPL1 VAMP3 DRAP1 PHF7 MICA
HuMAP2_00004,4,Q49A92 Q8WV99 Q9NQT8 Q9H672 P20774,C8orf34 ZFAND2B KIF13B ASB7 OGN
HuMAP2_00005,4,Q9UHN6 Q7LGC8 P02741,CEMIP2 CHST3 CRP
HuMAP2_00006,4,O43296 Q5CZA5 Q96C28 P07199 Q5SXM1,ZNF264 ZNF805 ZNF707 CENPB ZNF678
HuMAP2_00007,3,Q8NFX7 Q96Q42,STXBP6 ALS2
HuMAP2_00008,5,Q6RFH5 Q9BRU9 O75683 Q9Y2G2 Q9BXY0 Q96NE9 P56182,WDR74 UTP23 SURF6 CARD8 MAK16 FRMD6 RRP1
HuMAP2_00009,5,Q01085 Q86Y13 O75828 P31483 Q14353 Q9BZL1 P09455,TIAL1 DZIP3 CBR3 TIA1 GAMT UBL5 RBP1
HuMAP2_00010,3,Q7L576 Q9NYB9 Q8WUW1,CYFIP1 ABI2 BRK1
HuMAP2_00011,5,Q9BXX0 Q3ZCT1 O00339 Q99435 Q92832 Q5BLP8,EMILIN2 ZNF260 MATN2 NELL2 NELL1 C4orf48
HuMAP2_00012,5,Q99999 Q9UQ72 Q00888,GAL3ST1 PSG11 PSG4
HuMAP2_00013,3,Q9HCH0 Q9NV70,NCKAP5L EXOC1
HuMAP2_00014,4,Q16527 P08243,CSRP2 ASNS
HuMAP2_00015,4,Q96MN5 Q712K3,TCEANC2 UBE2R2
HuMAP2_00016,4,A1L157 P23229,TSPAN11 ITGA6
HuMAP2_00017,5,O14561 A6NFY7 Q9HD34 Q9NU23 Q5U5X0 Q9NWU1 Q96SL4 O14976,NDUFAB1 SDHAF1 LYRM4 LYRM2 LYRM7 OXSM GPX7 GAK
HuMAP2_00018,2,P34059 P15289,GALNS ARSA
HuMAP2_00019,4,P40259 Q9Y263 P21359,CD79B PLAA NF1
HuMAP2_00020,5,Q8TC07 Q9HA65 Q6IC98 Q14807,TBC1D15 TBC1D17 GRAMD4 KIF22
HuMAP2_00021,5,Q6ICG6 P31947,KIAA0930 SFN
HuMAP2_00023,5,P16949 O00170,STMN1 AIP
HuMAP2_00024,4,Q9H444 Q9BY43 Q9NZZ3 Q92620 Q9H169,CHMP4B CHMP4A CHMP5 DHX38 STMN4
HuMAP2_00025,5,Q96P63 P0C7M8,SERPINB12 CLEC2L
HuMAP2_00026,4,Q9NYQ7 Q96PX1 Q00888 Q9UQ74 Q9NXL9,CELSR3 RNF157 PSG4 PSG8 MCM9
HuMAP2_00027,3,Q9UJ68 P14416 P04040,MSRA DRD2 CAT
HuMAP2_00028,5,Q86WH2 Q9UM19 Q99732,RASSF3 HPCAL4 LITAF
HuMAP2_00029,3,Q9NX40 Q9UNF1 O95467 P38405,OCIAD1 MAGED2 GNAS GNAL
HuMAP2_00030,4,Q8WV74 Q10713 Q14527,NUDT8 PMPCA HLTF
HuMAP2_00031,4,Q86UD0 Q86YR5 Q9UN36 Q16851,SAPCD2 GPSM1 NDRG2 UGP2
HuMAP2_00032,3,O75152 Q9BY77 Q86W42 Q96J01 Q8NI27 Q96FV9 Q6I9Y2 Q13769,ZC3H11A POLDIP3 THOC6 THOC3 THOC2 THOC1 THOC7 THOC5
HuMAP2_00033,3,Q86XE0 Q13596,SNX32 SNX1
HuMAP2_00034,5,Q00341 O75534 Q9P2E3,HDLBP CSDE1 ZNFX1
